label,latitude,longitude,region,department,class_name,nearest_train_station
laurac en vivarais,44.503712977,4.288051747,auvergne rhône alpes,ardèche,city,Villefort
malarce sur la thines,44.47842111,4.050331709,auvergne rhône alpes,ardèche,city,Villefort
marcols les eaux,44.805857591,4.389352756,auvergne rhône alpes,ardèche,city,Le Pouzin
montreal,44.518242755,4.294294724,auvergne rhône alpes,ardèche,city,Villefort
belsentes,44.915172091,4.501873879,auvergne rhône alpes,ardèche,city,La Voulte-sur-Rhône
prunet,44.595386971,4.254443305,auvergne rhône alpes,ardèche,city,La Bastide-St-Laurent-les-Bains
rocher,44.580743053,4.279673268,auvergne rhône alpes,ardèche,city,La Bastide-St-Laurent-les-Bains
st alban auriolles,44.434362261,4.294617257,auvergne rhône alpes,ardèche,city,Génolhac
st alban auriolles,44.434362261,4.294617257,auvergne rhône alpes,ardèche,city,Génolhac
st etienne de serre,44.801469013,4.523351508,auvergne rhône alpes,ardèche,city,Le Pouzin
st genest lachamp,44.844258846,4.424403779,auvergne rhône alpes,ardèche,city,Le Pouzin
st maurice en chalencon,44.854713177,4.582378545,auvergne rhône alpes,ardèche,city,La Voulte-sur-Rhône
st peray,44.940900268,4.824380067,auvergne rhône alpes,ardèche,city,St-Péray
st romain de lerps,44.976021002,4.796591138,auvergne rhône alpes,ardèche,city,St-Péray
sampzon,44.412648109,4.331865524,auvergne rhône alpes,ardèche,city,Donzère
sanilhac,44.532932661,4.231771763,auvergne rhône alpes,ardèche,city,Villefort
soyons,44.891795842,4.851099731,auvergne rhône alpes,ardèche,city,Portes
montbrehain,49.964774581,3.356345656,hauts de france,aisne,city,Fresnoy-le-Grand
montescourt lizerolles,49.735843297,3.261878148,hauts de france,aisne,city,Montescourt
vallon pont d arc,44.400362094,4.405442855,auvergne rhône alpes,ardèche,city,Pierrelatte
montigny les conde,48.983232726,3.566517221,hauts de france,aisne,city,Artonges
les vans,44.392227568,4.114704212,auvergne rhône alpes,ardèche,city,Génolhac
montigny sous marle,49.741394451,3.804042798,hauts de france,aisne,city,Marle-sur-Serre
montloue,49.667813906,4.062955359,hauts de france,aisne,city,Montcornet
mont st pere,49.081931195,3.476999705,hauts de france,aisne,city,Mézy
villeneuve de berg,44.549110618,4.503596816,auvergne rhône alpes,ardèche,city,Le Teil
mortefontaine,49.336522127,3.081227765,hauts de france,aisne,city,Vic-sur-Aisne
nampteuil sous muret,49.305284958,3.433858092,hauts de france,aisne,city,Venizel
neuflieux,49.617084777,3.159479468,hauts de france,aisne,city,Chauny
neuilly st front,49.162859433,3.264251606,hauts de france,aisne,city,Neuilly-St-Front
nizy le comte,49.574436225,4.030266889,hauts de france,aisne,city,Clermont-les-Fermes
noroy sur ourcq,49.204123313,3.207797063,hauts de france,aisne,city,Neuilly-St-Front
nouvion et catillon,49.707297768,3.493588723,hauts de france,aisne,city,Versigny
ohis,49.918552317,4.011905333,hauts de france,aisne,city,Origny-en-Thiérache
passy sur marne,49.066037275,3.574160645,hauts de france,aisne,city,Mézy
pernant,49.375849613,3.229862367,hauts de france,aisne,city,Soissons
villers agron aiguizy,49.163077859,3.716339895,hauts de france,aisne,city,Dormans
wiege faty,49.883202459,3.713383147,hauts de france,aisne,city,Vervins
aigues vives,43.000605933,1.877001309,occitanie,ariège,city,Varilhes
albies,42.75449595,1.698141074,occitanie,ariège,city,Les Cabannes
alzen,42.981477991,1.455583307,occitanie,ariège,city,Foix
antras,42.873136055,0.901076172,occitanie,ariège,city,Marignac-St-Béat
appy,42.804212622,1.741572347,occitanie,ariège,city,Luzenac-Garanou
arnave,42.852578527,1.6462588500000002,occitanie,ariège,city,Tarascon-sur-Ariège
arrien en bethmale,42.877897905,1.036286961,occitanie,ariège,city,Lestelle
aston,42.681045186,1.659353899,occitanie,ariège,city,Les Cabannes
barjac,43.062358722,1.134894033,occitanie,ariège,city,Cazères-sur-Garonne
benagues,43.077767567,1.609995993,occitanie,ariège,city,Varilhes
besset,43.072394781,1.846291671,occitanie,ariège,city,Varilhes
bestiac,42.785299496,1.799260845,occitanie,ariège,city,Luzenac-Garanou
betchat,43.084337113,1.02905351,occitanie,ariège,city,St-Martory
bezac,43.152935541,1.5735185180000002,occitanie,ariège,city,Vernet-d'Ariège
bonac irazein,42.840298273,0.982966446,occitanie,ariège,city,Marignac-St-Béat
bouan,42.792392257,1.643365341,occitanie,ariège,city,Les Cabannes
boussenac,42.907697093,1.391199599,occitanie,ariège,city,Tarascon-sur-Ariège
burret,42.951550607,1.472306905,occitanie,ariège,city,Foix
calzan,43.033346295,1.741123428,occitanie,ariège,city,Varilhes
carla de roquefort,42.975332692,1.7620467190000002,occitanie,ariège,city,Foix
castelnau durban,42.992428714,1.338333517,occitanie,ariège,city,Foix
casteras,43.127912251,1.403548506,occitanie,ariège,city,Pamiers
castex,43.166036647,1.319505787,occitanie,ariège,city,Carbonne
cazaux,43.052924497,1.519269138,occitanie,ariège,city,St-Jean-de-Verges
st maurice en valgodemard,44.798496053,6.112547256,provence alpes côte d'azur,hautes alpes,city,Gap
chassiers,44.566071049,4.301942115,auvergne rhône alpes,ardèche,city,Le Teil
chazeaux,44.595318348,4.298677117,auvergne rhône alpes,ardèche,city,Le Teil
cornas,44.965893212,4.841157717,auvergne rhône alpes,ardèche,city,St-Péray
coux,44.743230369,4.622473789,auvergne rhône alpes,ardèche,city,Le Pouzin
darbres,44.659793314,4.515767253,auvergne rhône alpes,ardèche,city,Le Teil
dornas,44.851597834,4.357764189,auvergne rhône alpes,ardèche,city,Le Pouzin
largentiere,44.533435177,4.301173733,auvergne rhône alpes,ardèche,city,Le Teil
mariac,44.885755486,4.353058652,auvergne rhône alpes,ardèche,city,Le Pouzin
montselgues,44.533398573,4.003739641,auvergne rhône alpes,ardèche,city,La Bastide-St-Laurent-les-Bains
privas,44.722434276,4.594124449,auvergne rhône alpes,ardèche,city,Le Pouzin
rocles,44.568283822,4.207891882,auvergne rhône alpes,ardèche,city,La Bastide-St-Laurent-les-Bains
st cierge sous le cheylard,44.926511605,4.453931301,auvergne rhône alpes,ardèche,city,La Voulte-sur-Rhône
st marcel les annonay,45.2886497,4.629391603,auvergne rhône alpes,ardèche,city,St-Rambert-d'Albon
st pierre st jean,44.48245206,4.101861085,auvergne rhône alpes,ardèche,city,Villefort
st pierreville,44.818862746,4.481469211,auvergne rhône alpes,ardèche,city,Le Pouzin
les vans,44.392227568,4.114704212,auvergne rhône alpes,ardèche,city,Génolhac
alieze,46.585078016,5.58585556,bourgogne franche comté,jura,city,Lons-le-Saunier
arinthod,46.393818871,5.582269114,bourgogne franche comté,jura,city,Molinges
arlay,46.765371686,5.537548031,bourgogne franche comté,jura,city,Domblans-Voiteur
la chailleuse,46.581654364,5.526378282,bourgogne franche comté,jura,city,Lons-le-Saunier
aumont,46.916358761,5.633131722,bourgogne franche comté,jura,city,Poligny
auxange,47.177696691,5.654431375,bourgogne franche comté,jura,city,Orchamps
avignon les st claude,46.401415232,5.841108907,bourgogne franche comté,jura,city,St-Claude
bans,46.982403501,5.580664055,bourgogne franche comté,jura,city,Montbarrey
baverans,47.105995408,5.536574226,bourgogne franche comté,jura,city,Dole
beaufort orbagna,46.585163377,5.434623271,bourgogne franche comté,jura,city,Cousance
bellefontaine,46.556551899,6.082359393,bourgogne franche comté,jura,city,Morbier
belmont,47.028201675,5.605061014,bourgogne franche comté,jura,city,Montbarrey
